analysis_run_id,taskset_id,task_id,analysis_method_role,variant,window_mode,carry_in_mode,priority_rank,C_i,T_i,D_i,P_hat_i_raw,task_solver_status,task_certification_status,task_failure_reason_code,w_values_checked,h_values_checked,q_values_checked,full_w_scan_conformance,full_h_scan_conformance,full_q_scan_conformance,envelope_call_count,energy_numeric_mode,dominance_invariant_status,task_result_hash,task_failure_detail,P_hat_i_scaled,P_hat_i_rounding,candidate_response_time,source_analysis_run_id,carry_in_vector_hash,carry_in_source_variant,carry_in_source_certification_status,fixed_carry_in_corollary_status,dependency_vector_check_status,dependency_input_failure_mask,closing_w,witness_h,critical_q,minimum_energy_slack,processor_delay_Dp
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,0,AUXILIARY_ABLATION,CW-D,complete,deadline,0,7,47,47,9300000000000001/200000000000000000000,NO_CANDIDATE,NOT_CERTIFIED,NO_CANDIDATE,41,861,861,true,true,true,861,EXACT_RATIONAL,NOT_CHECKED,1f1d4a6e8748c3d7339ed129b25ab3d28c263608d3f4aff71e1861520c6b4f89,closure exhausted through task deadline,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,1,AUXILIARY_ABLATION,CW-D,complete,deadline,1,9,54,54,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,38ce45c75ee18d19d84713d49d2d9d1ff636892c0c6446dc6aac4fe284d88273,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,2,AUXILIARY_ABLATION,CW-D,complete,deadline,2,1,58,58,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,40e417498f34aecdc8e666c1b032631bf4a53a8592e468c1e4ce76a6ff4c55e0,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,3,AUXILIARY_ABLATION,CW-D,complete,deadline,3,1,59,59,9300000000000001/25000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,79285972a666eba8bdf5da5274e6b5114e38f039ee32a99527cc57d5bcddb2cb,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,4,AUXILIARY_ABLATION,CW-D,complete,deadline,4,6,72,72,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,b9cf1438166a719bf07243414e60967cb87b6ad153180418bb8dba34d2c85179,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,5,AUXILIARY_ABLATION,CW-D,complete,deadline,5,1,81,81,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,edd444be5140c55da89687c2f1c981e2bafbcdd83ac08b3a26718082857253e4,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,6,AUXILIARY_ABLATION,CW-D,complete,deadline,6,1,110,110,9300000000000001/25000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,c14bcb37dc3f99fa043adbf454489ffb5e7a1407e1907a56cb7a8dac4a58c972,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,7,AUXILIARY_ABLATION,CW-D,complete,deadline,7,1,114,114,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,ed05e189df9a0d3ce5b08cce7ee56ea72570944e2cba9fbf13fd9ecde92ab5a8,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,8,AUXILIARY_ABLATION,CW-D,complete,deadline,8,7,114,114,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,eff9ea4b48ad9daf53ac46bd4225aa26f00fb1980eaa2e3057b0b330a34cb542,,,,,,,,,,,,,,,,
e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,v93-u0-e0-t00-ba6fa39928a7,9,AUXILIARY_ABLATION,CW-D,complete,deadline,9,34,123,123,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,1ce50fbdb9708c36484c139cc26352ca74bcb036023a3d56c164f6c7abbda0c5,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,0,AUXILIARY_ABLATION,LOC-D,local,deadline,0,7,47,47,9300000000000001/200000000000000000000,NO_CANDIDATE,NOT_CERTIFIED,NO_CANDIDATE,41,861,861,true,true,true,861,EXACT_RATIONAL,NOT_CHECKED,447d6630665b19f080d7367a502c9bfd7a5ff4689d0402679e7614aa87b3d989,closure exhausted through task deadline,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,1,AUXILIARY_ABLATION,LOC-D,local,deadline,1,9,54,54,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,4fb82ba1419c2f9edf23ede3ffb4ce71de52e3e2ff02b23f2d82ba9413cd60fd,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,2,AUXILIARY_ABLATION,LOC-D,local,deadline,2,1,58,58,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,7a4342d62d1ec8b4815ed52efe50330560f8a751895616a5b53f25d9f94cbbd6,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,3,AUXILIARY_ABLATION,LOC-D,local,deadline,3,1,59,59,9300000000000001/25000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,fc6fc14c7e3ff2ab566339eff530904ea97cb48948cbfb2a6a290c6e21d42044,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,4,AUXILIARY_ABLATION,LOC-D,local,deadline,4,6,72,72,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,8a79142fc9996e185622bdb25995b57be049b09eb381634c779f474ef4c669f0,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,5,AUXILIARY_ABLATION,LOC-D,local,deadline,5,1,81,81,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,546cff93586bc912714b6f325798f69d970cddd7fffe5eaf9364c40de3c17376,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,6,AUXILIARY_ABLATION,LOC-D,local,deadline,6,1,110,110,9300000000000001/25000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,79056200963f6cb90f72f80dadd22f07bbb8d6c40b51e571f0a87901bd9abe2b,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,7,AUXILIARY_ABLATION,LOC-D,local,deadline,7,1,114,114,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,5839ec31f5dc52efaafe5026023b686a8f705829daeb1f82f314eb08abccf4f3,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,8,AUXILIARY_ABLATION,LOC-D,local,deadline,8,7,114,114,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,0df6f9ed4ecdeb3edf90ba7c21fb97c70c3c11947238d05999775a5255993ad3,,,,,,,,,,,,,,,,
e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,v93-u0-e0-t00-ba6fa39928a7,9,AUXILIARY_ABLATION,LOC-D,local,deadline,9,34,123,123,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,56935902f873b8a46fec037427c19b476a4cce735f79cec8e610058bf3dbf94b,,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,0,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,0,7,47,47,9300000000000001/200000000000000000000,NO_CANDIDATE,NOT_CERTIFIED,NO_CANDIDATE,41,861,861,true,true,true,861,EXACT_RATIONAL,NOT_CHECKED,d77ccbaef54e3318a1d5c924d25b5224b7193abf6cf1354da84e23d8da57cd64,closure exhausted through task deadline,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,1,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,1,9,54,54,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,91c452ddd8cf4dbd8a42b27a7071967ee4d5bcfb69a610b6ae0b69f569428138,,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,2,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,2,1,58,58,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,9af60b7f29b1b52625732c3c018c10507a6dc134be5021364dc1a687bb2d810e,,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,3,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,3,1,59,59,9300000000000001/25000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,9d4abeb8548e8cbf4fbd076c999b918ded43843093c542359436898e66ef67ec,,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,4,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,4,6,72,72,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,0ab20b160c8898dd1496e82af8ff8c8219a1cbae12ed3e59b774793af138a918,,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,5,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,5,1,81,81,279/500000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,90410f1b7f1853fe5d5f0fd8c7ba9d86d3f2068580bc3da807971ca6b7a81cf6,,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,6,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,6,1,110,110,9300000000000001/25000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,73eae30565d19582b4c0cf5ba0d61cb271306d1bfef4838a53f7b02292bdf1e3,,,,,,,,,,,,,,,,
aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,v93-u0-e0-t00-ba6fa39928a7,7,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,7,1,114,114,9300000000000001/200000000000000000000,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,UPSTREAM_PREFIX_FAILURE,0,0,0,true,true,true,0,EXACT_RATIONAL,NOT_CHECKED,6dfef3e27a3b7784d6a81bce909b3deb1f4d7a38cc9b394c971ef2cf4a6dae88,,,,,,,,,,,,,,,,
