analysis_run_id,taskset_id,task_id,analysis_method_role,variant,window_mode,carry_in_mode,priority_rank,C_i,T_i,D_i,P_hat_i_raw,task_solver_status,task_certification_status,task_failure_reason_code,w_values_checked,h_values_checked,q_values_checked,full_w_scan_conformance,full_h_scan_conformance,full_q_scan_conformance,envelope_call_count,energy_numeric_mode,dominance_invariant_status,task_result_hash,task_failure_detail,P_hat_i_scaled,P_hat_i_rounding,candidate_response_time,source_analysis_run_id,carry_in_vector_hash,carry_in_source_variant,carry_in_source_certification_status,fixed_carry_in_corollary_status,dependency_vector_check_status,dependency_input_failure_mask,closing_w,witness_h,critical_q,minimum_energy_slack,processor_delay_Dp
370d126b870e85db851f73306e82b2ab571c2b2b08999f9710131bacae2560fa,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,0,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,0,1,10,5,1,CANDIDATE_FOUND,CERTIFIED,NONE,1,1,1,true,true,true,1,EXACT_RATIONAL,NOT_APPLICABLE,6ea16cb1100f951bc7123c0ab819c0f60757a27549675a3070458bb6725459f9,,,,1,,,,,,,,1,0,,,
370d126b870e85db851f73306e82b2ab571c2b2b08999f9710131bacae2560fa,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,1,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,1,1,12,7,1,CANDIDATE_FOUND,CERTIFIED,NONE,2,1,2,true,true,true,2,EXACT_RATIONAL,NOT_APPLICABLE,02ee2bac8d1efe8c4f71333fb81210e0116d00dab9a41a9fb8b322019b8b886e,,,,2,,,,,,,,2,0,,,
55b2fac15ef783880dac397d8933230b28f24bb0f18cfe3ca249519bc77ec49a,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,0,AUXILIARY_ABLATION,LOC-Theta^cw,local,cw_candidate,0,1,10,5,1,CANDIDATE_FOUND,CERTIFIED,NONE,1,1,1,true,true,true,1,EXACT_RATIONAL,SATISFIED,7a396286dca66b4ec5d0ff83ee2800b3d5b9809de66772627ffe05aea603eede,,,,1,370d126b870e85db851f73306e82b2ab571c2b2b08999f9710131bacae2560fa,aff9cc88c36c55a914b834efeefa35da459d6785d42cf255edebf04f8137ec64,CW-Theta^cw,CERTIFIED_TASKSET,ACTIVE,VALID,EMPTY,1,0,,,
55b2fac15ef783880dac397d8933230b28f24bb0f18cfe3ca249519bc77ec49a,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,1,AUXILIARY_ABLATION,LOC-Theta^cw,local,cw_candidate,1,1,12,7,1,CANDIDATE_FOUND,CERTIFIED,NONE,2,1,2,true,true,true,2,EXACT_RATIONAL,SATISFIED,98d3174af7290aa80463686757de97ff0239d148575e5eff1a83c005be125f15,,,,2,370d126b870e85db851f73306e82b2ab571c2b2b08999f9710131bacae2560fa,1ae76b5ba6b427ea3c50ac6b77f4dd25ce173346e62795419f7f83c74208dfc8,CW-Theta^cw,CERTIFIED_TASKSET,ACTIVE,VALID,EMPTY,2,0,,,
65befe4ba9b6ed26b8859395c55e3404373d17bb610b57003f5f8c5978b23728,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,0,AUXILIARY_ABLATION,LOC-D,local,deadline,0,1,10,5,1,CANDIDATE_FOUND,CERTIFIED,NONE,1,1,1,true,true,true,1,EXACT_RATIONAL,NOT_APPLICABLE,2cf5f6aa13e3a9ef68567672ea1c885ca052dc48a450bf1192c2b7297956c85e,,,,1,,,,,,,,1,0,,,
65befe4ba9b6ed26b8859395c55e3404373d17bb610b57003f5f8c5978b23728,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,1,AUXILIARY_ABLATION,LOC-D,local,deadline,1,1,12,7,1,CANDIDATE_FOUND,CERTIFIED,NONE,2,1,2,true,true,true,2,EXACT_RATIONAL,NOT_APPLICABLE,ac4f54012542fb76a5ad71ade6dc43818e61a6610b76c73721a3314896d47ac5,,,,2,,,,,,,,2,0,,,
9da1e720f8bec332f4d053ea1a010d69d03fc5337cfc4a564a447308314c9355,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,0,MAIN_METHOD,LOC-Theta^loc,local,loc_candidate,0,1,10,5,1,CANDIDATE_FOUND,CERTIFIED,NONE,1,1,1,true,true,true,1,EXACT_RATIONAL,NOT_APPLICABLE,4673d9953cf05fbdf4bbbe36d88e989f77cfab375cef778e4aa1999e5c786992,,,,1,,,,,,,,1,0,,,
9da1e720f8bec332f4d053ea1a010d69d03fc5337cfc4a564a447308314c9355,00026094d274e29a58e6dd1dc120b84a41ad9480cc985abdb26f768911133ae2,1,MAIN_METHOD,LOC-Theta^loc,local,loc_candidate,1,1,12,7,1,CANDIDATE_FOUND,CERTIFIED,NONE,2,1,2,true,true,true,2,EXACT_RATIONAL,NOT_APPLICABLE,2fbd2d1527efb284ce4df7853369b3319ca769061b848e70b15fc3d1c5a7a2b9,,,,2,,,,,,,,2,0,,,
ddfaabe4836e814b6cc57b3e6f71e8a89e9783f10ea7a987cff7554261d08a12,6148195a149d44c9f844f7a93149045b12c1234a03f0e7f2189aaeddd01a0a8d,0,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,0,1,10,5,1,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,NONE,1,1,1,true,true,true,1,EXACT_RATIONAL,NOT_CHECKED,7b88c2e5a90debb17883677d1929808b2d12270f113f0ed70ffb5cbf16556cd4,,,,1,,,,,,,,1,0,,,
ddfaabe4836e814b6cc57b3e6f71e8a89e9783f10ea7a987cff7554261d08a12,6148195a149d44c9f844f7a93149045b12c1234a03f0e7f2189aaeddd01a0a8d,1,MAIN_METHOD,CW-Theta^cw,complete,cw_candidate,1,1,12,7,1,NO_CANDIDATE,NOT_CERTIFIED,NO_CANDIDATE,7,21,27,true,true,true,27,EXACT_RATIONAL,NOT_CHECKED,52618d82d4e5095650fa5a4cf717fdc612008eeb4c35fe6c205e049fde8df9aa,closure exhausted through task deadline,,,,,,,,,,,,,,,
